APPOINTMENTID,APPOINTMENTDATE,APPOINTMENTSTARTTIME,APPOINTMENTDURATION,PROVIDERID
291300,2025-01-23,16:30:00,10,289
291328,2025-01-24,16:15:00,10,108
290978,2025-01-24,12:30:00,30,282
291312,2025-01-24,10:00:00,20,329
290962,2025-01-23,14:00:00,10,221
291169,2025-01-23,18:15:00,10,103
291490,2025-01-31,10:40:00,20,398
291723,2025-01-27,17:30:00,60,236
291547,2025-01-31,14:15:00,10,342
292371,2025-01-30,12:45:00,10,103
291435,2025-01-30,12:30:00,10,103
291417,2025-01-25,11:00:00,10,119
291610,2025-01-30,14:45:00,20,289
291393,2025-01-30,13:40:00,20,100
291532,2025-01-30,12:00:00,10,248
291625,2025-01-29,11:40:00,20,341
291631,2025-01-28,17:45:00,10,103
291899,2025-01-30,15:30:00,20,100
291903,2025-01-30,10:00:00,20,100
290494,2025-01-30,12:00:00,10,201
290599,2025-01-30,11:20:00,10,100
290627,2025-01-30,11:50:00,10,100
290612,2025-01-22,12:20:00,30,119
290756,2025-01-30,12:10:00,10,100
290335,2025-01-30,06:30:00,10,201
290348,2025-01-30,16:40:00,20,116
290613,2025-01-30,11:30:00,10,100
290851,2025-01-30,12:50:00,10,100
290877,2025-01-30,18:45:00,10,289
291349,2025-01-30,17:45:00,10,103
291238,2025-01-30,12:00:00,10,103
291151,2025-01-30,13:15:00,10,201
291229,2025-01-30,14:45:00,10,103
290913,2025-01-30,07:30:00,10,201
291110,2025-01-30,11:30:00,10,103
290908,2025-01-30,12:15:00,10,201
290909,2025-01-30,07:15:00,10,201
291014,2025-01-30,10:15:00,10,289
291342,2025-01-30,18:00:00,10,248
291275,2025-01-30,13:50:00,10,287
291302,2025-01-30,12:15:00,10,103
291005,2025-01-30,09:45:00,10,248
290924,2025-01-30,07:40:00,20,116
291009,2025-01-30,13:00:00,10,271
290952,2025-01-30,09:15:00,10,289
291098,2025-01-30,11:20:00,20,337
291041,2025-01-30,10:20:00,10,100
291127,2025-01-30,11:45:00,10,103
291333,2025-01-30,17:45:00,10,248
291218,2025-01-30,14:30:00,10,271
291153,2025-01-30,10:00:00,10,119
291377,2025-01-30,20:00:00,10,108
290935,2025-01-30,08:15:00,10,271
291171,2025-01-30,13:10:00,20,100
291101,2025-01-30,10:45:00,10,103
291372,2025-01-30,18:15:00,10,108
291092,2025-01-30,10:30:00,10,119
291097,2025-01-30,11:45:00,10,248
291287,2025-01-30,15:40:00,20,116
291040,2025-01-30,10:15:00,10,103
291167,2025-01-30,12:45:00,10,289
290981,2025-01-30,13:00:00,10,100
290959,2025-01-23,10:30:00,10,374
291359,2025-01-23,18:45:00,10,248
290540,2025-01-28,09:40:00,20,236
290675,2025-01-28,13:15:00,10,201
290807,2025-01-27,17:00:00,20,116
290396,2025-01-28,11:45:00,10,289
291096,2025-01-28,10:30:00,10,289
291124,2025-01-28,14:50:00,10,100
291088,2025-01-23,12:30:00,10,221
290994,2025-01-23,18:00:00,10,103
290991,2025-01-23,14:00:00,10,271
290819,2025-01-27,17:45:00,10,289
290695,2025-01-22,14:30:00,60,270
291364,2025-01-27,19:00:00,10,108
291191,2025-01-27,13:00:00,20,224
291317,2025-01-27,17:45:00,10,103
291387,2025-01-24,12:45:00,10,168
291194,2025-01-23,14:20:00,20,104
291332,2025-01-27,18:30:00,10,103
291379,2025-01-27,09:45:00,10,248
291176,2025-01-27,14:00:00,20,337
291159,2025-01-27,13:15:00,10,103
291251,2025-01-27,15:15:00,10,103
291324,2025-01-27,14:45:00,10,119
291107,2025-01-23,12:15:00,10,221
291249,2025-01-23,17:00:00,20,270
291269,2025-01-24,09:00:00,10,103
291253,2025-01-24,09:45:00,10,103
291296,2025-01-24,16:00:00,10,103
291043,2025-01-23,11:30:00,10,168
291720,2025-01-29,12:00:00,10,263
290592,2025-01-29,14:45:00,10,248
290628,2025-01-29,12:30:00,10,282
290771,2025-01-29,11:40:00,20,224
290409,2025-01-29,09:30:00,10,248
290786,2025-01-29,16:15:00,10,289
290769,2025-01-29,12:45:00,10,201
290797,2025-01-29,16:30:00,20,289
290760,2025-01-29,15:45:00,10,289
290572,2025-01-29,08:15:00,10,201
290580,2025-01-29,12:15:00,10,289
290744,2025-01-29,13:45:00,20,201
290883,2025-01-29,18:15:00,10,289
290411,2025-01-29,09:00:00,10,289
290768,2025-01-28,16:00:00,20,297
290667,2025-01-29,11:00:00,20,337
290699,2025-01-29,11:15:00,10,248
290571,2025-01-29,12:30:00,10,201
290750,2025-01-29,16:00:00,10,248
290757,2025-01-29,13:00:00,10,289
290729,2025-01-29,10:45:00,10,248
290796,2025-01-29,16:30:00,10,108
290870,2025-01-29,18:45:00,10,108
290468,2025-01-29,10:00:00,10,248
290556,2025-01-29,11:30:00,10,289
289605,2025-01-27,13:30:00,10,119
290793,2025-01-29,10:15:00,10,248
290345,2025-01-28,20:40:00,20,116
290689,2025-01-29,15:30:00,10,248
290392,2025-01-29,08:30:00,10,201
290535,2025-01-29,10:30:00,20,119
290527,2025-01-29,18:50:00,10,100
290463,2025-01-29,07:00:00,10,201
291152,2025-01-29,16:45:00,10,248
291044,2025-01-29,10:15:00,10,289
291193,2025-01-24,13:00:00,20,224
289563,2025-01-23,17:20:00,20,204
291226,2025-01-28,12:40:00,20,116
291118,2025-01-28,13:00:00,30,248
291247,2025-01-29,12:00:00,20,100
291236,2025-01-29,15:45:00,10,263
291383,2025-01-24,12:30:00,10,168
290178,2025-01-29,15:45:00,10,100
289974,2025-01-29,15:30:00,10,100
290092,2025-01-29,14:15:00,10,100
290047,2025-01-21,15:20:00,20,270
289948,2025-01-21,13:30:00,10,248
289857,2025-01-21,12:00:00,10,128
289791,2025-01-21,19:00:00,20,116
289802,2025-01-22,09:15:00,20,224
289739,2025-01-21,10:45:00,10,168
289800,2025-01-22,11:10:00,10,100
289675,2025-01-22,10:20:00,20,100
290093,2025-01-22,09:40:00,10,201
290024,2025-01-22,09:30:00,10,108
290232,2025-01-21,18:20:00,20,116
290161,2025-01-22,14:15:00,10,263
290053,2025-01-22,14:10:00,10,100
289706,2025-01-22,10:30:00,10,100
289671,2025-01-23,09:20:00,10,100
289666,2025-01-23,09:30:00,10,248
289759,2025-01-23,10:00:00,20,116
290316,2025-01-22,10:40:00,20,270
290222,2025-01-23,13:00:00,20,224
289855,2025-01-26,12:00:00,20,398
290225,2025-01-23,13:00:00,10,221
290163,2025-01-22,17:15:00,10,289
289804,2025-01-22,11:00:00,20,224
289958,2025-01-22,14:30:00,20,100
290169,2025-01-22,15:20:00,30,100
289997,2025-01-22,12:30:00,10,100
290261,2025-01-21,18:45:00,10,221
290118,2025-01-22,13:40:00,20,337
289757,2025-01-22,10:40:00,20,100
289878,2025-01-21,17:00:00,20,116
289745,2025-01-21,14:40:00,10,128
289828,2025-01-21,17:30:00,10,289
289698,2025-01-21,09:30:00,10,263
289764,2025-01-22,09:40:00,20,161
290133,2025-01-22,11:45:00,10,282
289826,2025-01-21,11:40:00,20,337
290355,2025-01-22,07:30:00,60,270
291240,2025-01-28,13:00:00,20,104
291407,2025-01-30,17:15:00,10,168
291421,2025-01-31,09:45:00,10,263
291533,2025-01-30,17:30:00,10,168
291752,2025-01-27,16:00:00,60,118
291008,2025-01-30,09:45:00,10,168
290940,2025-01-30,10:30:00,10,168
291351,2025-01-31,09:00:00,10,103
290665,2025-01-29,17:45:00,10,168
290639,2025-01-29,14:45:00,10,168
289943,2025-01-31,12:30:00,10,108
289307,2025-01-17,16:00:00,10,108
289885,2025-01-23,16:00:00,20,116
289790,2025-01-22,11:40:00,20,116
289833,2025-01-23,10:45:00,10,100
289952,2025-01-23,16:00:00,10,103
289677,2025-01-23,13:15:00,10,119
289991,2025-01-23,07:30:00,10,221
290013,2025-01-23,07:15:00,10,221
289795,2025-01-22,09:00:00,20,116
289724,2025-01-22,20:45:00,10,168
290008,2025-01-22,11:40:00,20,270
290274,2025-01-23,18:45:00,10,248
290292,2025-01-23,09:00:00,10,289
290141,2025-01-23,11:45:00,10,119
289773,2025-01-24,11:45:00,10,103
290177,2025-01-24,17:00:00,10,103
289771,2025-01-24,10:15:00,10,103
289324,2025-01-24,16:00:00,10,108
290315,2025-01-23,11:45:00,10,168
289501,2025-01-24,08:30:00,10,263
289346,2025-01-18,09:00:00,10,119
288727,2025-01-16,11:45:00,10,263
289479,2025-01-21,12:00:00,10,248
289254,2025-01-17,13:45:00,10,248
289161,2025-01-22,14:20:00,20,100
289168,2025-01-22,11:45:00,10,289
289160,2025-01-22,09:40:00,10,100
288763,2025-01-22,10:30:00,10,201
289043,2025-01-22,17:30:00,10,108
289084,2025-01-22,19:00:00,20,398
289052,2025-01-22,17:00:00,20,398
289064,2025-01-22,11:30:00,10,289
289327,2025-01-21,18:45:00,10,248
289212,2025-01-21,13:45:00,10,168
288643,2025-01-16,11:30:00,10,289
288600,2025-01-16,12:25:00,10,100
288787,2025-01-16,17:00:00,20,270
289171,2025-01-19,19:00:00,10,221
290946,2025-01-28,14:20:00,20,270
291178,2025-01-28,13:15:00,10,103
291145,2025-01-27,14:40:00,20,116
290201,2025-01-28,15:00:00,10,103
290224,2025-01-28,17:00:00,10,248
289918,2025-01-28,11:30:00,10,221
289713,2025-01-28,09:15:00,10,289
290324,2025-01-28,19:00:00,20,398
289897,2025-01-28,07:30:00,10,201
290054,2025-01-28,15:45:00,10,282
290144,2025-01-28,15:45:00,10,289
290154,2025-01-28,15:30:00,10,289
289865,2025-01-28,11:45:00,10,103
289693,2025-01-28,08:00:00,10,263
289916,2025-01-28,11:15:00,10,289
290260,2025-01-28,12:15:00,10,103
290128,2025-01-28,15:15:00,10,289
290215,2025-01-28,10:25:00,10,100
289884,2025-01-28,12:00:00,10,289
289736,2025-01-28,10:40:00,20,236
289849,2025-01-28,11:15:00,10,221
289672,2025-01-28,12:00:00,10,119
289840,2025-01-28,11:30:00,10,289
289809,2025-01-28,10:45:00,10,289
289731,2025-01-28,15:45:00,20,100
290254,2025-01-28,18:00:00,10,103
290197,2025-01-28,18:00:00,10,248
290217,2025-01-28,17:30:00,10,248
289893,2025-01-28,11:30:00,10,103
290238,2025-01-28,17:45:00,10,248
289939,2025-01-28,13:00:00,10,119
289960,2025-01-28,14:15:00,10,201
290073,2025-01-28,14:20:00,20,337
289965,2025-01-28,12:45:00,10,248
289761,2025-01-28,09:00:00,10,289
289705,2025-01-28,09:30:00,10,168
290045,2025-01-28,12:00:00,10,103
290087,2025-01-28,15:45:00,10,103
290266,2025-01-28,18:45:00,10,248
290021,2025-01-28,12:15:00,10,289
290086,2025-01-28,16:00:00,10,248
289981,2025-01-28,13:30:00,10,289
290211,2025-01-28,17:30:00,10,103
290231,2025-01-28,17:15:00,10,221
289823,2025-01-28,11:00:00,10,289
289961,2025-01-28,12:30:00,10,201
290204,2025-01-28,18:45:00,10,221
289694,2025-01-28,08:35:00,10,314
290050,2025-01-28,14:00:00,20,337
289438,2025-01-28,10:00:00,20,270
289695,2025-01-28,08:00:00,10,119
289068,2025-01-16,17:30:00,60,297
290223,2025-01-27,14:20:00,20,224
289873,2025-01-27,11:00:00,10,289
290176,2025-01-27,13:00:00,10,289
290136,2025-01-27,09:45:00,10,289
289707,2025-01-27,07:45:00,10,263
290102,2025-01-27,14:45:00,10,289
289738,2025-01-23,20:30:00,10,168
289825,2025-01-27,09:30:00,10,248
290257,2025-01-27,17:40:00,20,233
